latitude,longitude,vs30,soil_type,floors,building_material,building_age,foundation_type,damage_level
22.25,84.81,200,alluvium,3,brick,35,shallow,4
22.26,84.82,220,alluvium,4,brick,30,shallow,4
22.27,84.83,250,clay,5,brick,25,shallow,3
22.28,84.84,300,clay,6,brick,20,shallow,3
22.29,84.85,350,sand,7,rc,15,pile,2
22.30,84.86,400,sand,8,rc,10,pile,2
22.31,84.87,450,sand,9,rc,8,pile,2
22.32,84.88,500,rock,10,steel,5,raft,1
22.33,84.89,550,rock,11,steel,4,raft,1
22.34,84.90,600,rock,12,steel,3,raft,0
22.24,84.80,210,alluvium,2,brick,40,shallow,4
22.23,84.79,230,alluvium,3,brick,38,shallow,4
22.22,84.78,260,clay,4,brick,30,shallow,3
22.21,84.77,300,clay,5,brick,25,shallow,3
22.20,84.76,350,sand,6,rc,20,pile,2
22.19,84.75,380,sand,7,rc,18,pile,2
22.18,84.74,420,sand,8,rc,12,pile,2
22.17,84.73,480,rock,9,steel,10,raft,1
22.16,84.72,520,rock,10,steel,8,raft,1
22.15,84.71,600,rock,12,steel,5,raft,0
